id,skipped,certified,fdr_significant,wf_folds,wf_median_sharpe,wf_pct_positive,val_trades,val_total_return,val_sharpe_trade_ann,val_sharpe_daily_ann,ho_trades,ho_trades_per_week,ho_total_return,ho_sharpe_trade_ann,ho_sharpe_daily_ann,ho_profit_factor,ho_max_drawdown,ho_expectancy_R,ho_time_under_water,stress_total_return,label_perm_p,random_p,block_boot_p,block_boot_lower_ci,yearly_positive,yearly_total,prop_25k_blowup,prop_25k_blowup_ci_upper,prop_50k_blowup,prop_150k_blowup,prop_25k_research_only,fail_reasons,spec
ny__touch_entry__h4_atr_x1.0,False,False,False,3,-3.123,0.0,332,-0.1296,-1.376,-1.797,349,2.87,-0.0821,-0.639,-0.851,0.874,-0.151,-0.0706,0.9799,-0.1642,0.872,0.832,0.784,-0.2212,0,7,0.636,0.677,0.222,0.012,True,wf_folds<4 (got 3); wf_median_sharpe<=0.0 (got -3.123); wf_pct_positive_folds<0.5 (got 0.0); holdout_total_return<=0 (got -0.0821); profit_factor<=1.2 (got 0.874); label_permutation failed (p=0.872); random_baseline failed (p=0.832); block_bootstrap failed (p=0.784); stress_total_return<=0 (got -0.1642); yearly_consistency failed (0 of 7),"{""id"": ""ny__touch_entry__h4_atr_x1.0"", ""bias_timeframe"": ""H4"", ""setup_timeframe"": ""H4"", ""entry_timeframe"": ""M15"", ""signal"": {""type"": ""prev_color""}, ""filters"": [{""type"": ""body_atr"", ""min"": 0.5, ""atr_n"": 14}, {""type"": ""regime"", ""ma_n"": 50, ""side"": ""with""}, {""type"": ""session"", ""hours_utc"": [12, 13, 14, 15, 16]}], ""entry"": {""type"": ""touch_entry""}, ""stop"": {""type"": ""h4_atr"", ""mult"": 1.0, ""atr_n"": 14}, ""exit"": {""type"": ""h4_close""}, ""risk"": {""per_trade_pct"": 0.5}, ""cost_bps"": 1.5, ""seed"": null}"
ny__reaction_close__prev_h4_open,False,False,False,3,-9.867,0.0,332,-0.1011,-1.162,-1.514,349,2.87,-0.0034,-0.002,-0.003,1.047,-0.0887,-0.0003,0.9857,-0.1003,0.514,0.516,0.448,-0.1319,1,7,0.488,0.5317,0.04,0.0,True,wf_folds<4 (got 3); wf_median_sharpe<=0.0 (got -9.867); wf_pct_positive_folds<0.5 (got 0.0); holdout_total_return<=0 (got -0.0034); profit_factor<=1.2 (got 1.047); label_permutation failed (p=0.514); random_baseline failed (p=0.516); block_bootstrap failed (p=0.448); stress_total_return<=0 (got -0.1003); yearly_consistency failed (1 of 7),"{""id"": ""ny__reaction_close__prev_h4_open"", ""bias_timeframe"": ""H4"", ""setup_timeframe"": ""H4"", ""entry_timeframe"": ""M15"", ""signal"": {""type"": ""prev_color""}, ""filters"": [{""type"": ""body_atr"", ""min"": 0.5, ""atr_n"": 14}, {""type"": ""regime"", ""ma_n"": 50, ""side"": ""with""}, {""type"": ""session"", ""hours_utc"": [12, 13, 14, 15, 16]}], ""entry"": {""type"": ""reaction_close""}, ""stop"": {""type"": ""prev_h4_open""}, ""exit"": {""type"": ""h4_close""}, ""risk"": {""per_trade_pct"": 0.5}, ""cost_bps"": 1.5, ""seed"": null}"
ny__reaction_close__prev_h4_extreme,False,False,False,3,-9.42,0.3333,332,-0.0622,-0.647,-0.863,349,2.87,0.0144,0.143,0.19,1.092,-0.0909,0.0178,0.9885,-0.0841,0.422,0.434,0.362,-0.1201,2,7,0.47,0.5138,0.044,0.0,True,wf_folds<4 (got 3); wf_median_sharpe<=0.0 (got -9.42); wf_pct_positive_folds<0.5 (got 0.3333); profit_factor<=1.2 (got 1.092); label_permutation failed (p=0.422); random_baseline failed (p=0.434); block_bootstrap failed (p=0.362); stress_total_return<=0 (got -0.0841),"{""id"": ""ny__reaction_close__prev_h4_extreme"", ""bias_timeframe"": ""H4"", ""setup_timeframe"": ""H4"", ""entry_timeframe"": ""M15"", ""signal"": {""type"": ""prev_color""}, ""filters"": [{""type"": ""body_atr"", ""min"": 0.5, ""atr_n"": 14}, {""type"": ""regime"", ""ma_n"": 50, ""side"": ""with""}, {""type"": ""session"", ""hours_utc"": [12, 13, 14, 15, 16]}], ""entry"": {""type"": ""reaction_close""}, ""stop"": {""type"": ""prev_h4_extreme""}, ""exit"": {""type"": ""h4_close""}, ""risk"": {""per_trade_pct"": 0.5}, ""cost_bps"": 1.5, ""seed"": null}"
ny__reaction_close__h4_atr_x1.0,False,False,False,3,-10.779,0.0,332,-0.0897,-0.968,-1.286,349,2.87,0.0033,0.053,0.071,1.065,-0.0946,0.0066,0.9885,-0.0954,0.474,0.482,0.42,-0.1326,1,7,0.45,0.4938,0.062,0.002,True,wf_folds<4 (got 3); wf_median_sharpe<=0.0 (got -10.779); wf_pct_positive_folds<0.5 (got 0.0); profit_factor<=1.2 (got 1.065); label_permutation failed (p=0.474); random_baseline failed (p=0.482); block_bootstrap failed (p=0.42); stress_total_return<=0 (got -0.0954); yearly_consistency failed (1 of 7),"{""id"": ""ny__reaction_close__h4_atr_x1.0"", ""bias_timeframe"": ""H4"", ""setup_timeframe"": ""H4"", ""entry_timeframe"": ""M15"", ""signal"": {""type"": ""prev_color""}, ""filters"": [{""type"": ""body_atr"", ""min"": 0.5, ""atr_n"": 14}, {""type"": ""regime"", ""ma_n"": 50, ""side"": ""with""}, {""type"": ""session"", ""hours_utc"": [12, 13, 14, 15, 16]}], ""entry"": {""type"": ""reaction_close""}, ""stop"": {""type"": ""h4_atr"", ""mult"": 1.0, ""atr_n"": 14}, ""exit"": {""type"": ""h4_close""}, ""risk"": {""per_trade_pct"": 0.5}, ""cost_bps"": 1.5, ""seed"": null}"
ny__fib_limit_entry_lvl0.382__prev_h4_open,False,False,False,3,-0.531,0.3333,189,-0.0633,-0.991,-1.65,194,1.6,0.0095,0.129,0.243,1.102,-0.0505,0.0221,0.9639,-0.0049,0.454,0.434,0.41,-0.0748,1,7,0.18,0.2161,0.008,0.0,True,wf_folds<4 (got 3); wf_median_sharpe<=0.0 (got -0.531); wf_pct_positive_folds<0.5 (got 0.3333); profit_factor<=1.2 (got 1.102); label_permutation failed (p=0.454); random_baseline failed (p=0.434); block_bootstrap failed (p=0.41); stress_total_return<=0 (got -0.0049); yearly_consistency failed (1 of 7),"{""id"": ""ny__fib_limit_entry_lvl0.382__prev_h4_open"", ""bias_timeframe"": ""H4"", ""setup_timeframe"": ""H4"", ""entry_timeframe"": ""M15"", ""signal"": {""type"": ""prev_color""}, ""filters"": [{""type"": ""body_atr"", ""min"": 0.5, ""atr_n"": 14}, {""type"": ""regime"", ""ma_n"": 50, ""side"": ""with""}, {""type"": ""session"", ""hours_utc"": [12, 13, 14, 15, 16]}], ""entry"": {""type"": ""fib_limit_entry"", ""level"": 0.382}, ""stop"": {""type"": ""prev_h4_open""}, ""exit"": {""type"": ""h4_close""}, ""risk"": {""per_trade_pct"": 0.5}, ""cost_bps"": 1.5, ""seed"": null}"
ny__fib_limit_entry_lvl0.382__prev_h4_extreme,False,False,False,3,1.183,0.6667,189,-0.0168,-0.21,-0.345,194,1.6,0.0442,0.503,0.917,1.242,-0.037,0.0841,0.933,0.0245,0.24,0.238,0.236,-0.0491,3,7,0.146,0.1796,0.004,0.0,True,wf_folds<4 (got 3); label_permutation failed (p=0.24); random_baseline failed (p=0.238); block_bootstrap failed (p=0.236),"{""id"": ""ny__fib_limit_entry_lvl0.382__prev_h4_extreme"", ""bias_timeframe"": ""H4"", ""setup_timeframe"": ""H4"", ""entry_timeframe"": ""M15"", ""signal"": {""type"": ""prev_color""}, ""filters"": [{""type"": ""body_atr"", ""min"": 0.5, ""atr_n"": 14}, {""type"": ""regime"", ""ma_n"": 50, ""side"": ""with""}, {""type"": ""session"", ""hours_utc"": [12, 13, 14, 15, 16]}], ""entry"": {""type"": ""fib_limit_entry"", ""level"": 0.382}, ""stop"": {""type"": ""prev_h4_extreme""}, ""exit"": {""type"": ""h4_close""}, ""risk"": {""per_trade_pct"": 0.5}, ""cost_bps"": 1.5, ""seed"": null}"
ny__fib_limit_entry_lvl0.382__h4_atr_x1.0,False,False,False,3,-1.681,0.3333,189,-0.0204,-0.241,-0.395,194,1.6,0.0529,0.586,1.07,1.29,-0.0404,0.0941,0.9175,0.033,0.23,0.212,0.212,-0.0429,4,7,0.432,0.4758,0.012,0.0,True,wf_folds<4 (got 3); wf_median_sharpe<=0.0 (got -1.681); wf_pct_positive_folds<0.5 (got 0.3333); label_permutation failed (p=0.23); random_baseline failed (p=0.212); block_bootstrap failed (p=0.212),"{""id"": ""ny__fib_limit_entry_lvl0.382__h4_atr_x1.0"", ""bias_timeframe"": ""H4"", ""setup_timeframe"": ""H4"", ""entry_timeframe"": ""M15"", ""signal"": {""type"": ""prev_color""}, ""filters"": [{""type"": ""body_atr"", ""min"": 0.5, ""atr_n"": 14}, {""type"": ""regime"", ""ma_n"": 50, ""side"": ""with""}, {""type"": ""session"", ""hours_utc"": [12, 13, 14, 15, 16]}], ""entry"": {""type"": ""fib_limit_entry"", ""level"": 0.382}, ""stop"": {""type"": ""h4_atr"", ""mult"": 1.0, ""atr_n"": 14}, ""exit"": {""type"": ""h4_close""}, ""risk"": {""per_trade_pct"": 0.5}, ""cost_bps"": 1.5, ""seed"": null}"
ny__fib_limit_entry_lvl0.5__prev_h4_open,False,False,False,3,-8.026,0.3333,156,0.0014,0.038,0.068,145,1.19,0.0026,0.051,0.112,1.046,-0.0421,0.0111,0.9034,-0.0049,0.47,0.502,0.438,-0.0625,4,7,0.432,0.4758,0.008,0.0,True,wf_folds<4 (got 3); wf_median_sharpe<=0.0 (got -8.026); wf_pct_positive_folds<0.5 (got 0.3333); profit_factor<=1.2 (got 1.046); label_permutation failed (p=0.47); random_baseline failed (p=0.502); block_bootstrap failed (p=0.438); stress_total_return<=0 (got -0.0049),"{""id"": ""ny__fib_limit_entry_lvl0.5__prev_h4_open"", ""bias_timeframe"": ""H4"", ""setup_timeframe"": ""H4"", ""entry_timeframe"": ""M15"", ""signal"": {""type"": ""prev_color""}, ""filters"": [{""type"": ""body_atr"", ""min"": 0.5, ""atr_n"": 14}, {""type"": ""regime"", ""ma_n"": 50, ""side"": ""with""}, {""type"": ""session"", ""hours_utc"": [12, 13, 14, 15, 16]}], ""entry"": {""type"": ""fib_limit_entry"", ""level"": 0.5}, ""stop"": {""type"": ""prev_h4_open""}, ""exit"": {""type"": ""h4_close""}, ""risk"": {""per_trade_pct"": 0.5}, ""cost_bps"": 1.5, ""seed"": null}"
ny__fib_limit_entry_lvl0.5__prev_h4_extreme,False,False,False,3,-3.65,0.3333,156,0.0473,0.678,1.212,145,1.19,0.0244,0.317,0.655,1.163,-0.0341,0.0645,0.9034,0.0176,0.316,0.316,0.254,-0.0454,4,7,0.39,0.4334,0.006,0.0,True,wf_folds<4 (got 3); wf_median_sharpe<=0.0 (got -3.65); wf_pct_positive_folds<0.5 (got 0.3333); profit_factor<=1.2 (got 1.163); label_permutation failed (p=0.316); random_baseline failed (p=0.316); block_bootstrap failed (p=0.254),"{""id"": ""ny__fib_limit_entry_lvl0.5__prev_h4_extreme"", ""bias_timeframe"": ""H4"", ""setup_timeframe"": ""H4"", ""entry_timeframe"": ""M15"", ""signal"": {""type"": ""prev_color""}, ""filters"": [{""type"": ""body_atr"", ""min"": 0.5, ""atr_n"": 14}, {""type"": ""regime"", ""ma_n"": 50, ""side"": ""with""}, {""type"": ""session"", ""hours_utc"": [12, 13, 14, 15, 16]}], ""entry"": {""type"": ""fib_limit_entry"", ""level"": 0.5}, ""stop"": {""type"": ""prev_h4_extreme""}, ""exit"": {""type"": ""h4_close""}, ""risk"": {""per_trade_pct"": 0.5}, ""cost_bps"": 1.5, ""seed"": null}"
ny__fib_limit_entry_lvl0.5__h4_atr_x1.0,False,False,False,3,-10.283,0.3333,156,0.0544,0.697,1.259,145,1.19,0.0252,0.312,0.643,1.184,-0.0456,0.0561,0.8966,0.0208,0.286,0.32,0.278,-0.0549,5,7,0.586,0.6284,0.008,0.0,True,wf_folds<4 (got 3); wf_median_sharpe<=0.0 (got -10.283); wf_pct_positive_folds<0.5 (got 0.3333); profit_factor<=1.2 (got 1.184); label_permutation failed (p=0.286); random_baseline failed (p=0.32); block_bootstrap failed (p=0.278),"{""id"": ""ny__fib_limit_entry_lvl0.5__h4_atr_x1.0"", ""bias_timeframe"": ""H4"", ""setup_timeframe"": ""H4"", ""entry_timeframe"": ""M15"", ""signal"": {""type"": ""prev_color""}, ""filters"": [{""type"": ""body_atr"", ""min"": 0.5, ""atr_n"": 14}, {""type"": ""regime"", ""ma_n"": 50, ""side"": ""with""}, {""type"": ""session"", ""hours_utc"": [12, 13, 14, 15, 16]}], ""entry"": {""type"": ""fib_limit_entry"", ""level"": 0.5}, ""stop"": {""type"": ""h4_atr"", ""mult"": 1.0, ""atr_n"": 14}, ""exit"": {""type"": ""h4_close""}, ""risk"": {""per_trade_pct"": 0.5}, ""cost_bps"": 1.5, ""seed"": null}"
ny__fib_limit_entry_lvl0.618__prev_h4_open,False,False,False,3,-1.07,0.3333,117,0.0147,0.306,0.624,112,0.92,0.0372,0.628,1.427,1.262,-0.0212,0.1789,0.8482,0.0082,0.18,0.178,0.148,-0.0194,4,7,0.412,0.4557,0.0,0.0,True,wf_folds<4 (got 3); wf_median_sharpe<=0.0 (got -1.07); wf_pct_positive_folds<0.5 (got 0.3333); label_permutation failed (p=0.18); random_baseline failed (p=0.178); block_bootstrap failed (p=0.148),"{""id"": ""ny__fib_limit_entry_lvl0.618__prev_h4_open"", ""bias_timeframe"": ""H4"", ""setup_timeframe"": ""H4"", ""entry_timeframe"": ""M15"", ""signal"": {""type"": ""prev_color""}, ""filters"": [{""type"": ""body_atr"", ""min"": 0.5, ""atr_n"": 14}, {""type"": ""regime"", ""ma_n"": 50, ""side"": ""with""}, {""type"": ""session"", ""hours_utc"": [12, 13, 14, 15, 16]}], ""entry"": {""type"": ""fib_limit_entry"", ""level"": 0.618}, ""stop"": {""type"": ""prev_h4_open""}, ""exit"": {""type"": ""h4_close""}, ""risk"": {""per_trade_pct"": 0.5}, ""cost_bps"": 1.5, ""seed"": null}"
ny__fib_limit_entry_lvl0.618__prev_h4_extreme,False,False,False,3,1.84,0.6667,117,0.0479,0.772,1.567,112,0.92,0.0449,0.678,1.531,1.298,-0.0174,0.1656,0.8214,0.0157,0.166,0.158,0.116,-0.0128,5,7,0.388,0.4314,0.0,0.0,True,wf_folds<4 (got 3); label_permutation failed (p=0.166); random_baseline failed (p=0.158); block_bootstrap failed (p=0.116),"{""id"": ""ny__fib_limit_entry_lvl0.618__prev_h4_extreme"", ""bias_timeframe"": ""H4"", ""setup_timeframe"": ""H4"", ""entry_timeframe"": ""M15"", ""signal"": {""type"": ""prev_color""}, ""filters"": [{""type"": ""body_atr"", ""min"": 0.5, ""atr_n"": 14}, {""type"": ""regime"", ""ma_n"": 50, ""side"": ""with""}, {""type"": ""session"", ""hours_utc"": [12, 13, 14, 15, 16]}], ""entry"": {""type"": ""fib_limit_entry"", ""level"": 0.618}, ""stop"": {""type"": ""prev_h4_extreme""}, ""exit"": {""type"": ""h4_close""}, ""risk"": {""per_trade_pct"": 0.5}, ""cost_bps"": 1.5, ""seed"": null}"
ny__fib_limit_entry_lvl0.618__h4_atr_x1.0,False,False,False,3,-6.049,0.3333,117,0.0649,0.893,1.823,112,0.92,0.0506,0.677,1.539,1.316,-0.0269,0.1303,0.8304,0.0212,0.148,0.16,0.126,-0.0222,5,7,0.596,0.6381,0.0,0.0,True,wf_folds<4 (got 3); wf_median_sharpe<=0.0 (got -6.049); wf_pct_positive_folds<0.5 (got 0.3333); label_permutation failed (p=0.148); random_baseline failed (p=0.16); block_bootstrap failed (p=0.126),"{""id"": ""ny__fib_limit_entry_lvl0.618__h4_atr_x1.0"", ""bias_timeframe"": ""H4"", ""setup_timeframe"": ""H4"", ""entry_timeframe"": ""M15"", ""signal"": {""type"": ""prev_color""}, ""filters"": [{""type"": ""body_atr"", ""min"": 0.5, ""atr_n"": 14}, {""type"": ""regime"", ""ma_n"": 50, ""side"": ""with""}, {""type"": ""session"", ""hours_utc"": [12, 13, 14, 15, 16]}], ""entry"": {""type"": ""fib_limit_entry"", ""level"": 0.618}, ""stop"": {""type"": ""h4_atr"", ""mult"": 1.0, ""atr_n"": 14}, ""exit"": {""type"": ""h4_close""}, ""risk"": {""per_trade_pct"": 0.5}, ""cost_bps"": 1.5, ""seed"": null}"
ny__delayed_entry_1__prev_h4_open,False,False,False,3,-4.574,0.0,332,-0.163,-1.931,-2.519,349,2.87,-0.0107,-0.061,-0.083,1.036,-0.0994,-0.0073,0.9742,-0.107,0.56,0.558,0.502,-0.1431,1,7,0.424,0.4677,0.058,0.002,True,wf_folds<4 (got 3); wf_median_sharpe<=0.0 (got -4.574); wf_pct_positive_folds<0.5 (got 0.0); holdout_total_return<=0 (got -0.0107); profit_factor<=1.2 (got 1.036); label_permutation failed (p=0.56); random_baseline failed (p=0.558); block_bootstrap failed (p=0.502); stress_total_return<=0 (got -0.107); yearly_consistency failed (1 of 7),"{""id"": ""ny__delayed_entry_1__prev_h4_open"", ""bias_timeframe"": ""H4"", ""setup_timeframe"": ""H4"", ""entry_timeframe"": ""M15"", ""signal"": {""type"": ""prev_color""}, ""filters"": [{""type"": ""body_atr"", ""min"": 0.5, ""atr_n"": 14}, {""type"": ""regime"", ""ma_n"": 50, ""side"": ""with""}, {""type"": ""session"", ""hours_utc"": [12, 13, 14, 15, 16]}], ""entry"": {""type"": ""delayed_entry_1""}, ""stop"": {""type"": ""prev_h4_open""}, ""exit"": {""type"": ""h4_close""}, ""risk"": {""per_trade_pct"": 0.5}, ""cost_bps"": 1.5, ""seed"": null}"
ny__delayed_entry_1__prev_h4_extreme,False,False,False,3,-3.458,0.3333,332,-0.1268,-1.372,-1.826,349,2.87,0.0108,0.114,0.151,1.085,-0.0941,0.0138,0.9799,-0.0875,0.43,0.442,0.388,-0.1295,2,7,0.42,0.4637,0.056,0.002,True,wf_folds<4 (got 3); wf_median_sharpe<=0.0 (got -3.458); wf_pct_positive_folds<0.5 (got 0.3333); profit_factor<=1.2 (got 1.085); label_permutation failed (p=0.43); random_baseline failed (p=0.442); block_bootstrap failed (p=0.388); stress_total_return<=0 (got -0.0875),"{""id"": ""ny__delayed_entry_1__prev_h4_extreme"", ""bias_timeframe"": ""H4"", ""setup_timeframe"": ""H4"", ""entry_timeframe"": ""M15"", ""signal"": {""type"": ""prev_color""}, ""filters"": [{""type"": ""body_atr"", ""min"": 0.5, ""atr_n"": 14}, {""type"": ""regime"", ""ma_n"": 50, ""side"": ""with""}, {""type"": ""session"", ""hours_utc"": [12, 13, 14, 15, 16]}], ""entry"": {""type"": ""delayed_entry_1""}, ""stop"": {""type"": ""prev_h4_extreme""}, ""exit"": {""type"": ""h4_close""}, ""risk"": {""per_trade_pct"": 0.5}, ""cost_bps"": 1.5, ""seed"": null}"
ny__delayed_entry_1__h4_atr_x1.0,False,False,False,3,-2.643,0.3333,332,-0.1223,-1.327,-1.727,349,2.87,-0.0053,-0.016,-0.021,1.062,-0.1035,-0.0018,0.9885,-0.1045,0.526,0.526,0.494,-0.1546,2,7,0.438,0.4818,0.068,0.002,True,wf_folds<4 (got 3); wf_median_sharpe<=0.0 (got -2.643); wf_pct_positive_folds<0.5 (got 0.3333); holdout_total_return<=0 (got -0.0053); profit_factor<=1.2 (got 1.062); label_permutation failed (p=0.526); random_baseline failed (p=0.526); block_bootstrap failed (p=0.494); stress_total_return<=0 (got -0.1045),"{""id"": ""ny__delayed_entry_1__h4_atr_x1.0"", ""bias_timeframe"": ""H4"", ""setup_timeframe"": ""H4"", ""entry_timeframe"": ""M15"", ""signal"": {""type"": ""prev_color""}, ""filters"": [{""type"": ""body_atr"", ""min"": 0.5, ""atr_n"": 14}, {""type"": ""regime"", ""ma_n"": 50, ""side"": ""with""}, {""type"": ""session"", ""hours_utc"": [12, 13, 14, 15, 16]}], ""entry"": {""type"": ""delayed_entry_1""}, ""stop"": {""type"": ""h4_atr"", ""mult"": 1.0, ""atr_n"": 14}, ""exit"": {""type"": ""h4_close""}, ""risk"": {""per_trade_pct"": 0.5}, ""cost_bps"": 1.5, ""seed"": null}"
ny__delayed_entry_2__prev_h4_open,False,False,False,3,-8.739,0.0,332,-0.1142,-1.333,-1.728,349,2.87,-0.0022,0.008,0.011,1.052,-0.1009,0.001,0.9742,-0.0991,0.514,0.51,0.448,-0.137,1,7,0.352,0.3948,0.042,0.0,True,wf_folds<4 (got 3); wf_median_sharpe<=0.0 (got -8.739); wf_pct_positive_folds<0.5 (got 0.0); holdout_total_return<=0 (got -0.0022); profit_factor<=1.2 (got 1.052); label_permutation failed (p=0.514); random_baseline failed (p=0.51); block_bootstrap failed (p=0.448); stress_total_return<=0 (got -0.0991); yearly_consistency failed (1 of 7),"{""id"": ""ny__delayed_entry_2__prev_h4_open"", ""bias_timeframe"": ""H4"", ""setup_timeframe"": ""H4"", ""entry_timeframe"": ""M15"", ""signal"": {""type"": ""prev_color""}, ""filters"": [{""type"": ""body_atr"", ""min"": 0.5, ""atr_n"": 14}, {""type"": ""regime"", ""ma_n"": 50, ""side"": ""with""}, {""type"": ""session"", ""hours_utc"": [12, 13, 14, 15, 16]}], ""entry"": {""type"": ""delayed_entry_2""}, ""stop"": {""type"": ""prev_h4_open""}, ""exit"": {""type"": ""h4_close""}, ""risk"": {""per_trade_pct"": 0.5}, ""cost_bps"": 1.5, ""seed"": null}"
ny__delayed_entry_2__prev_h4_extreme,False,False,False,3,-7.92,0.3333,332,-0.0758,-0.802,-1.066,349,2.87,0.0195,0.183,0.244,1.104,-0.0977,0.0233,0.9771,-0.0794,0.416,0.412,0.352,-0.125,2,7,0.372,0.4152,0.046,0.0,True,wf_folds<4 (got 3); wf_median_sharpe<=0.0 (got -7.92); wf_pct_positive_folds<0.5 (got 0.3333); profit_factor<=1.2 (got 1.104); label_permutation failed (p=0.416); random_baseline failed (p=0.412); block_bootstrap failed (p=0.352); stress_total_return<=0 (got -0.0794),"{""id"": ""ny__delayed_entry_2__prev_h4_extreme"", ""bias_timeframe"": ""H4"", ""setup_timeframe"": ""H4"", ""entry_timeframe"": ""M15"", ""signal"": {""type"": ""prev_color""}, ""filters"": [{""type"": ""body_atr"", ""min"": 0.5, ""atr_n"": 14}, {""type"": ""regime"", ""ma_n"": 50, ""side"": ""with""}, {""type"": ""session"", ""hours_utc"": [12, 13, 14, 15, 16]}], ""entry"": {""type"": ""delayed_entry_2""}, ""stop"": {""type"": ""prev_h4_extreme""}, ""exit"": {""type"": ""h4_close""}, ""risk"": {""per_trade_pct"": 0.5}, ""cost_bps"": 1.5, ""seed"": null}"
ny__delayed_entry_2__h4_atr_x1.0,False,False,False,3,-7.025,0.3333,332,-0.0613,-0.635,-0.839,349,2.87,-0.005,-0.014,-0.019,1.062,-0.1,-0.0018,0.9914,-0.0918,0.526,0.524,0.46,-0.1438,1,7,0.498,0.5417,0.062,0.0,True,wf_folds<4 (got 3); wf_median_sharpe<=0.0 (got -7.025); wf_pct_positive_folds<0.5 (got 0.3333); holdout_total_return<=0 (got -0.005); profit_factor<=1.2 (got 1.062); label_permutation failed (p=0.526); random_baseline failed (p=0.524); block_bootstrap failed (p=0.46); stress_total_return<=0 (got -0.0918); yearly_consistency failed (1 of 7),"{""id"": ""ny__delayed_entry_2__h4_atr_x1.0"", ""bias_timeframe"": ""H4"", ""setup_timeframe"": ""H4"", ""entry_timeframe"": ""M15"", ""signal"": {""type"": ""prev_color""}, ""filters"": [{""type"": ""body_atr"", ""min"": 0.5, ""atr_n"": 14}, {""type"": ""regime"", ""ma_n"": 50, ""side"": ""with""}, {""type"": ""session"", ""hours_utc"": [12, 13, 14, 15, 16]}], ""entry"": {""type"": ""delayed_entry_2""}, ""stop"": {""type"": ""h4_atr"", ""mult"": 1.0, ""atr_n"": 14}, ""exit"": {""type"": ""h4_close""}, ""risk"": {""per_trade_pct"": 0.5}, ""cost_bps"": 1.5, ""seed"": null}"
ny__zone_midpoint_limit__prev_h4_open,False,False,False,3,-12.976,0.3333,148,0.0346,0.609,1.128,140,1.15,0.0676,0.878,1.863,1.489,-0.0233,0.2366,0.9,0.0533,0.086,0.098,0.114,-0.0188,4,7,0.036,0.0562,0.0,0.0,True,wf_folds<4 (got 3); wf_median_sharpe<=0.0 (got -12.976); wf_pct_positive_folds<0.5 (got 0.3333); label_permutation failed (p=0.086); random_baseline failed (p=0.098); block_bootstrap failed (p=0.114),"{""id"": ""ny__zone_midpoint_limit__prev_h4_open"", ""bias_timeframe"": ""H4"", ""setup_timeframe"": ""H4"", ""entry_timeframe"": ""M15"", ""signal"": {""type"": ""prev_color""}, ""filters"": [{""type"": ""body_atr"", ""min"": 0.5, ""atr_n"": 14}, {""type"": ""regime"", ""ma_n"": 50, ""side"": ""with""}, {""type"": ""session"", ""hours_utc"": [12, 13, 14, 15, 16]}], ""entry"": {""type"": ""zone_midpoint_limit""}, ""stop"": {""type"": ""prev_h4_open""}, ""exit"": {""type"": ""h4_close""}, ""risk"": {""per_trade_pct"": 0.5}, ""cost_bps"": 1.5, ""seed"": null}"
ny__zone_midpoint_limit__prev_h4_extreme,False,False,False,3,-6.358,0.3333,148,0.0548,0.866,1.581,140,1.15,0.0899,1.118,2.339,1.652,-0.0257,0.2797,0.8786,0.0763,0.04,0.05,0.056,0.0004,5,7,0.022,0.039,0.0,0.0,True,wf_folds<4 (got 3); wf_median_sharpe<=0.0 (got -6.358); wf_pct_positive_folds<0.5 (got 0.3333); random_baseline failed (p=0.05); block_bootstrap failed (p=0.056),"{""id"": ""ny__zone_midpoint_limit__prev_h4_extreme"", ""bias_timeframe"": ""H4"", ""setup_timeframe"": ""H4"", ""entry_timeframe"": ""M15"", ""signal"": {""type"": ""prev_color""}, ""filters"": [{""type"": ""body_atr"", ""min"": 0.5, ""atr_n"": 14}, {""type"": ""regime"", ""ma_n"": 50, ""side"": ""with""}, {""type"": ""session"", ""hours_utc"": [12, 13, 14, 15, 16]}], ""entry"": {""type"": ""zone_midpoint_limit""}, ""stop"": {""type"": ""prev_h4_extreme""}, ""exit"": {""type"": ""h4_close""}, ""risk"": {""per_trade_pct"": 0.5}, ""cost_bps"": 1.5, ""seed"": null}"
ny__zone_midpoint_limit__h4_atr_x1.0,False,False,False,3,-9.965,0.3333,148,0.0629,0.867,1.602,140,1.15,0.0866,1.014,2.123,1.591,-0.0387,0.22,0.8786,0.073,0.054,0.062,0.114,-0.0142,5,7,0.084,0.1116,0.004,0.0,True,wf_folds<4 (got 3); wf_median_sharpe<=0.0 (got -9.965); wf_pct_positive_folds<0.5 (got 0.3333); label_permutation failed (p=0.054); random_baseline failed (p=0.062); block_bootstrap failed (p=0.114),"{""id"": ""ny__zone_midpoint_limit__h4_atr_x1.0"", ""bias_timeframe"": ""H4"", ""setup_timeframe"": ""H4"", ""entry_timeframe"": ""M15"", ""signal"": {""type"": ""prev_color""}, ""filters"": [{""type"": ""body_atr"", ""min"": 0.5, ""atr_n"": 14}, {""type"": ""regime"", ""ma_n"": 50, ""side"": ""with""}, {""type"": ""session"", ""hours_utc"": [12, 13, 14, 15, 16]}], ""entry"": {""type"": ""zone_midpoint_limit""}, ""stop"": {""type"": ""h4_atr"", ""mult"": 1.0, ""atr_n"": 14}, ""exit"": {""type"": ""h4_close""}, ""risk"": {""per_trade_pct"": 0.5}, ""cost_bps"": 1.5, ""seed"": null}"
