entry_time,exit_time,dir,entry,exit,pnl,ret,fill_kind
2026-02-26 01:00:00+00:00,2026-02-26 03:45:00+00:00,1,5169.549327046266,5191.281,21.731672953734233,0.004203784813511219,market
2026-02-26 08:00:00+00:00,2026-02-26 11:45:00+00:00,-1,5196.894238639663,5186.227,10.667238639663083,0.0020526179964084346,market
2026-02-26 12:00:00+00:00,2026-02-26 12:45:00+00:00,1,5188.427054077816,5167.683999999999,-20.74305407781685,-0.003997946557138923,market
2026-02-26 20:45:00+00:00,2026-02-26 21:45:00+00:00,-1,5179.88072397076,5192.706999999999,-12.826276029239125,-0.002476172080542974,market
2026-02-27 01:00:00+00:00,2026-02-27 03:45:00+00:00,-1,5183.457752961169,5193.918,-10.460247038830857,-0.0020180056513155148,market
2026-02-27 12:30:00+00:00,2026-02-27 12:30:00+00:00,1,5176.7002831368045,5172.042,-4.65828313680413,-0.0008998556767867307,market
2026-02-27 16:00:00+00:00,2026-02-27 19:45:00+00:00,1,5227.592214930136,5234.513000000001,6.920785069864905,0.001323895358574253,market
2026-02-27 20:00:00+00:00,2026-02-27 22:15:00+00:00,-1,5232.722741887578,5257.696999999999,-24.974258112421012,-0.004772708080346744,market
2026-03-06 16:30:00+00:00,2026-03-06 16:45:00+00:00,-1,5088.822780833465,5130.659,-41.83621916653465,-0.008221197901429486,market
2026-03-11 16:00:00+00:00,2026-03-11 19:45:00+00:00,1,5191.152994231032,5169.601,-21.55199423103204,-0.004151677720726578,market
2026-03-12 16:15:00+00:00,2026-03-12 19:45:00+00:00,-1,5150.404037325341,5105.175,45.22903732534087,0.008781648390604474,market
2026-03-13 08:15:00+00:00,2026-03-13 11:45:00+00:00,-1,5094.735722996183,5089.494,5.2417229961829435,0.001028850814090965,market
2026-03-13 16:00:00+00:00,2026-03-13 19:45:00+00:00,-1,5090.00788376806,5046.281,43.72688376806036,0.008590730066942444,market
2026-03-16 12:30:00+00:00,2026-03-16 15:45:00+00:00,-1,4984.638949474574,5029.651000000001,-45.012050525427185,-0.009030152631249625,market
2026-03-16 17:00:00+00:00,2026-03-16 19:45:00+00:00,1,4998.854314138527,4991.0689999999995,-7.78531413852761,-0.0015574196904494676,market
2026-03-16 20:45:00+00:00,2026-03-16 22:45:00+00:00,-1,5012.237950453906,5006.205,6.032950453905869,0.0012036440634985272,market
2026-03-17 08:00:00+00:00,2026-03-17 11:45:00+00:00,-1,5011.992942284266,5010.361000000001,1.6319422842652784,0.0003256074585614848,market
2026-03-17 16:15:00+00:00,2026-03-17 19:45:00+00:00,-1,5007.330214925552,5002.371,4.95921492555226,0.0009903910292894458,market
2026-03-17 20:00:00+00:00,2026-03-17 22:45:00+00:00,1,5006.749591485427,5005.355,-1.3945914854275543,-0.00027854228775475866,market
2026-03-18 04:30:00+00:00,2026-03-18 07:45:00+00:00,-1,5000.057309210865,4997.612,2.4453092108651617,0.0004890562366876337,market
2026-03-18 08:00:00+00:00,2026-03-18 10:45:00+00:00,1,5010.095812788496,4981.509,-28.58681278849599,-0.0057058415361093216,market
2026-03-18 12:00:00+00:00,2026-03-18 15:45:00+00:00,-1,4988.220056800768,4878.051,110.16905680076798,0.022085845360925338,market
2026-03-19 00:00:00+00:00,2026-03-19 03:45:00+00:00,-1,4817.68901313577,4849.854,-32.16498686422983,-0.006676434858399891,market
2026-03-19 04:15:00+00:00,2026-03-19 07:45:00+00:00,1,4858.123461220323,4827.28,-30.84346122032366,-0.006348842606930376,market
2026-03-27 16:00:00+00:00,2026-03-27 19:45:00+00:00,1,4460.275547802937,4486.258000000001,25.98245219706405,0.005825302028674575,market
2026-03-30 09:15:00+00:00,2026-03-30 09:15:00+00:00,-1,4527.808046140508,4517.281999999999,10.526046140508697,0.002324755385661959,market
