time,open,high,low,close,volume,spread
2026-01-30 00:00:00+00:00,5414.93,5420.84,5290.34,5301.09,35210.0,65.0
2026-01-30 04:00:00+00:00,5301.0,5312.24,5112.07,5184.92,100580.0,65.0
2026-01-30 08:00:00+00:00,5185.2,5205.44,4942.33,5013.67,106240.0,65.0
2026-01-30 12:00:00+00:00,5012.69,5145.54,4992.04,5019.29,95738.0,65.0
2026-01-30 16:00:00+00:00,5019.31,5113.03,4800.78,4849.38,126968.0,54.0
2026-01-30 20:00:00+00:00,4849.41,4947.58,4684.92,4890.34,104173.0,216.0
2026-02-02 00:00:00+00:00,4805.03,4884.67,4583.67,4737.5,80967.0,216.0
2026-02-02 04:00:00+00:00,4737.25,4772.18,4499.06,4549.2,106350.0,54.0
2026-02-02 08:00:00+00:00,4548.94,4731.63,4402.99,4719.68,106819.0,65.0
2026-02-02 12:00:00+00:00,4719.61,4812.34,4657.2,4705.96,95777.0,65.0
2026-02-02 16:00:00+00:00,4706.06,4793.93,4596.61,4673.86,115399.0,65.0
2026-02-02 20:00:00+00:00,4673.92,4712.57,4618.41,4660.72,81455.0,65.0
2026-02-03 00:00:00+00:00,4668.26,4855.93,4665.67,4841.27,69737.0,65.0
2026-02-03 04:00:00+00:00,4840.91,4841.66,4745.49,4824.91,84569.0,65.0
2026-02-03 08:00:00+00:00,4824.95,4947.94,4816.39,4916.0,75286.0,54.0
2026-02-03 12:00:00+00:00,4916.08,4950.83,4883.7,4932.6,67992.0,53.0
2026-02-03 16:00:00+00:00,4932.63,4993.53,4893.7,4929.0,107334.0,53.0
2026-02-03 20:00:00+00:00,4928.98,4963.99,4880.35,4946.89,82727.0,65.0
2026-02-04 00:00:00+00:00,4947.11,5053.4,4909.83,5046.61,61186.0,65.0
2026-02-04 04:00:00+00:00,5046.58,5090.28,5035.28,5079.3,52391.0,65.0
2026-02-04 08:00:00+00:00,5079.34,5091.58,5042.98,5059.88,57182.0,53.0
2026-02-04 12:00:00+00:00,5060.03,5064.2,5013.28,5053.8,58368.0,52.0
2026-02-04 16:00:00+00:00,5054.09,5058.79,4855.07,4897.88,114819.0,50.0
2026-02-04 20:00:00+00:00,4897.76,4970.72,4873.09,4964.75,71791.0,51.0
2026-02-05 00:00:00+00:00,4977.44,5023.73,4935.79,4958.49,56432.0,52.0
2026-02-05 04:00:00+00:00,4958.52,4961.37,4788.72,4896.08,101564.0,52.0
2026-02-05 08:00:00+00:00,4896.06,4943.56,4849.62,4855.05,86825.0,51.0
2026-02-05 12:00:00+00:00,4855.02,4894.31,4801.91,4835.22,94435.0,50.0
2026-02-05 16:00:00+00:00,4835.26,4906.28,4800.45,4868.94,119226.0,50.0
2026-02-05 20:00:00+00:00,4868.7,4875.09,4760.05,4779.55,76240.0,50.0
2026-02-06 00:00:00+00:00,4790.02,4796.0,4654.54,4774.26,76565.0,51.0
2026-02-06 04:00:00+00:00,4774.06,4897.78,4761.12,4897.51,73998.0,51.0
2026-02-06 08:00:00+00:00,4897.48,4903.13,4825.27,4866.59,69011.0,51.0
2026-02-06 12:00:00+00:00,4866.69,4938.11,4851.61,4928.73,59620.0,50.0
2026-02-06 16:00:00+00:00,4929.22,4968.36,4894.22,4960.22,83516.0,49.0
2026-02-06 20:00:00+00:00,4960.23,4971.09,4936.45,4967.36,39662.0,172.0
2026-02-09 00:00:00+00:00,4980.52,5047.18,4964.46,4982.25,53865.0,134.0
2026-02-09 04:00:00+00:00,4982.26,5041.35,4969.05,5036.5,53256.0,50.0
2026-02-09 08:00:00+00:00,5035.98,5045.54,4997.01,5007.57,55961.0,50.0
2026-02-09 12:00:00+00:00,5007.68,5024.52,4982.16,5006.9,53205.0,49.0
2026-02-09 16:00:00+00:00,5006.86,5080.28,5002.15,5046.3,70584.0,49.0
2026-02-09 20:00:00+00:00,5046.17,5086.22,5044.21,5058.41,43655.0,49.0
2026-02-10 00:00:00+00:00,5059.97,5076.07,4987.69,5032.76,48731.0,51.0
2026-02-10 04:00:00+00:00,5032.74,5056.07,5011.3,5039.08,52979.0,49.0
2026-02-10 08:00:00+00:00,5039.0,5063.17,5018.55,5046.79,49543.0,49.0
2026-02-10 12:00:00+00:00,5046.81,5058.41,5019.68,5050.86,44416.0,49.0
2026-02-10 16:00:00+00:00,5050.9,5078.47,4998.83,5026.17,75797.0,49.0
2026-02-10 20:00:00+00:00,5026.19,5045.27,5004.64,5025.21,37966.0,49.0
2026-02-11 00:00:00+00:00,5026.24,5054.6,5025.34,5052.5,28574.0,51.0
2026-02-11 04:00:00+00:00,5052.49,5063.84,5032.5,5052.75,34891.0,49.0
2026-02-11 08:00:00+00:00,5052.76,5071.85,5045.7,5062.6,38161.0,49.0
2026-02-11 12:00:00+00:00,5062.68,5118.96,5018.56,5065.64,69156.0,48.0
2026-02-11 16:00:00+00:00,5065.71,5098.89,5035.66,5091.53,101740.0,47.0
2026-02-11 20:00:00+00:00,5091.38,5094.13,5066.62,5084.25,56917.0,48.0
2026-02-12 00:00:00+00:00,5085.08,5099.92,5045.01,5063.45,43699.0,50.0
2026-02-12 04:00:00+00:00,5063.6,5078.28,5050.91,5075.46,40250.0,49.0
