time,open,high,low,close,volume,spread
2026-01-30 02:30:00+00:00,5414.93,5414.93,5407.84,5411.2,771.0,53.0
2026-01-30 02:45:00+00:00,5411.21,5420.84,5389.81,5406.96,5498.0,65.0
2026-01-30 03:00:00+00:00,5407.98,5409.79,5301.79,5310.29,7751.0,52.0
2026-01-30 03:15:00+00:00,5310.25,5363.39,5306.56,5357.11,7041.0,54.0
2026-01-30 03:30:00+00:00,5357.11,5372.96,5344.75,5349.41,6742.0,52.0
2026-01-30 03:45:00+00:00,5349.28,5349.28,5290.34,5301.09,7407.0,53.0
2026-01-30 04:00:00+00:00,5301.0,5312.24,5195.62,5211.5,7907.0,51.0
2026-01-30 04:15:00+00:00,5211.66,5214.09,5112.07,5171.74,8049.0,52.0
2026-01-30 04:30:00+00:00,5171.65,5230.38,5139.75,5216.67,8057.0,65.0
2026-01-30 04:45:00+00:00,5216.73,5246.15,5202.02,5225.09,7396.0,54.0
2026-01-30 05:00:00+00:00,5225.06,5229.15,5166.9,5181.55,7097.0,65.0
2026-01-30 05:15:00+00:00,5180.9,5206.34,5172.72,5199.27,6575.0,54.0
2026-01-30 05:30:00+00:00,5199.22,5221.84,5153.39,5154.96,6575.0,54.0
2026-01-30 05:45:00+00:00,5154.84,5199.79,5151.84,5196.05,5645.0,54.0
2026-01-30 06:00:00+00:00,5195.82,5225.32,5193.68,5214.43,5843.0,54.0
2026-01-30 06:15:00+00:00,5214.63,5230.51,5198.57,5210.66,5739.0,65.0
2026-01-30 06:30:00+00:00,5210.63,5226.55,5202.27,5203.75,5022.0,65.0
2026-01-30 06:45:00+00:00,5203.6,5216.78,5200.63,5214.72,4031.0,65.0
2026-01-30 07:00:00+00:00,5213.22,5224.79,5203.38,5224.79,4558.0,54.0
2026-01-30 07:15:00+00:00,5224.84,5241.01,5223.39,5229.94,5818.0,65.0
2026-01-30 07:30:00+00:00,5229.89,5239.36,5212.72,5232.03,6380.0,65.0
2026-01-30 07:45:00+00:00,5232.18,5235.09,5179.56,5184.92,5888.0,65.0
2026-01-30 08:00:00+00:00,5185.2,5205.44,5175.04,5190.77,6175.0,65.0
2026-01-30 08:15:00+00:00,5190.71,5197.79,5156.91,5157.2,6587.0,65.0
2026-01-30 08:30:00+00:00,5157.1,5179.59,5151.79,5157.89,6486.0,65.0
2026-01-30 08:45:00+00:00,5158.1,5172.02,5145.58,5155.63,7031.0,65.0
2026-01-30 09:00:00+00:00,5155.59,5186.34,5125.2,5173.37,6149.0,54.0
2026-01-30 09:15:00+00:00,5173.46,5185.15,5165.02,5174.75,5248.0,54.0
2026-01-30 09:30:00+00:00,5174.76,5178.53,5117.78,5146.64,6738.0,53.0
2026-01-30 09:45:00+00:00,5146.63,5184.65,5142.44,5180.95,5994.0,54.0
2026-01-30 10:00:00+00:00,5180.36,5180.36,5140.94,5145.47,6371.0,54.0
2026-01-30 10:15:00+00:00,5145.65,5170.68,5132.83,5152.3,6133.0,54.0
2026-01-30 10:30:00+00:00,5152.06,5154.44,5054.32,5096.34,7343.0,52.0
2026-01-30 10:45:00+00:00,5096.54,5128.54,5091.8,5117.23,6526.0,54.0
2026-01-30 11:00:00+00:00,5116.97,5131.99,5014.45,5028.2,7558.0,54.0
2026-01-30 11:15:00+00:00,5028.52,5069.88,5020.58,5028.36,7324.0,65.0
2026-01-30 11:30:00+00:00,5027.82,5068.38,4975.96,4977.04,7071.0,65.0
2026-01-30 11:45:00+00:00,4976.93,5030.19,4942.33,5013.67,7506.0,53.0
2026-01-30 12:00:00+00:00,5012.69,5052.3,5000.71,5038.86,6702.0,65.0
2026-01-30 12:15:00+00:00,5038.77,5075.85,5031.87,5059.78,6565.0,65.0
2026-01-30 12:30:00+00:00,5059.72,5092.24,5054.91,5078.06,5821.0,53.0
2026-01-30 12:45:00+00:00,5078.66,5122.62,5076.5,5119.74,6070.0,54.0
2026-01-30 13:00:00+00:00,5119.43,5126.23,5090.12,5120.31,5788.0,65.0
2026-01-30 13:15:00+00:00,5120.43,5130.23,5105.43,5124.58,5312.0,54.0
2026-01-30 13:30:00+00:00,5124.57,5137.76,5118.32,5120.9,4300.0,65.0
2026-01-30 13:45:00+00:00,5120.93,5144.41,5088.81,5135.65,6018.0,54.0
2026-01-30 14:00:00+00:00,5135.75,5145.54,5121.43,5128.78,4807.0,53.0
2026-01-30 14:15:00+00:00,5128.82,5139.78,5109.56,5119.76,4818.0,54.0
2026-01-30 14:30:00+00:00,5119.84,5135.85,5103.31,5113.67,4956.0,54.0
2026-01-30 14:45:00+00:00,5113.72,5115.6,5055.67,5064.62,6838.0,53.0
2026-01-30 15:00:00+00:00,5064.64,5099.62,5054.68,5075.17,7104.0,54.0
2026-01-30 15:15:00+00:00,5075.54,5076.68,5014.18,5026.03,6910.0,54.0
2026-01-30 15:30:00+00:00,5025.82,5047.66,5011.01,5037.86,6662.0,54.0
2026-01-30 15:45:00+00:00,5037.7,5037.7,4992.04,5019.29,7067.0,54.0
2026-01-30 16:00:00+00:00,5019.31,5073.41,5017.51,5052.78,7535.0,54.0
2026-01-30 16:15:00+00:00,5052.77,5087.58,5040.99,5072.3,6840.0,54.0
2026-01-30 16:30:00+00:00,5072.05,5113.03,5056.89,5081.03,7665.0,53.0
2026-01-30 16:45:00+00:00,5081.06,5097.35,5014.1,5032.74,8132.0,54.0
2026-01-30 17:00:00+00:00,5032.03,5045.62,4980.48,5027.68,8328.0,53.0
2026-01-30 17:15:00+00:00,5027.79,5060.23,5027.35,5045.44,7962.0,50.0
2026-01-30 17:30:00+00:00,5045.13,5073.03,5040.2,5058.98,7856.0,51.0
2026-01-30 17:45:00+00:00,5058.96,5073.94,5038.42,5050.55,8132.0,52.0
2026-01-30 18:00:00+00:00,5050.49,5051.78,5017.04,5030.15,7561.0,54.0
2026-01-30 18:15:00+00:00,5030.19,5034.95,4989.41,4995.35,7921.0,51.0
2026-01-30 18:30:00+00:00,4995.21,5016.92,4959.36,5010.25,8175.0,46.0
2026-01-30 18:45:00+00:00,5010.28,5014.43,4943.7,4984.99,8133.0,53.0
2026-01-30 19:00:00+00:00,4985.02,4985.66,4899.78,4914.66,8366.0,54.0
2026-01-30 19:15:00+00:00,4915.35,4940.38,4898.81,4925.67,8299.0,54.0
2026-01-30 19:30:00+00:00,4925.64,4925.64,4839.17,4859.72,8156.0,54.0
2026-01-30 19:45:00+00:00,4859.66,4878.15,4800.78,4849.38,7907.0,54.0
2026-01-30 20:00:00+00:00,4849.41,4889.48,4786.9,4807.68,8410.0,65.0
2026-01-30 20:15:00+00:00,4807.65,4817.15,4693.45,4742.54,8262.0,65.0
2026-01-30 20:30:00+00:00,4740.73,4784.65,4684.92,4779.65,7928.0,65.0
2026-01-30 20:45:00+00:00,4778.11,4893.35,4772.99,4880.36,8037.0,65.0
2026-01-30 21:00:00+00:00,4880.93,4917.74,4871.85,4889.03,7845.0,53.0
2026-01-30 21:15:00+00:00,4889.06,4900.36,4842.05,4893.09,7358.0,53.0
2026-01-30 21:30:00+00:00,4893.12,4929.76,4881.57,4926.63,6861.0,44.0
2026-01-30 21:45:00+00:00,4926.55,4947.58,4908.64,4932.73,6625.0,65.0
2026-01-30 22:00:00+00:00,4932.78,4932.78,4879.49,4899.78,7302.0,53.0
2026-01-30 22:15:00+00:00,4899.77,4913.3,4880.86,4890.22,5770.0,54.0
2026-01-30 22:30:00+00:00,4890.25,4893.83,4844.04,4861.44,7088.0,54.0
2026-01-30 22:45:00+00:00,4861.47,4879.47,4808.71,4846.83,6988.0,52.0
2026-01-30 23:00:00+00:00,4847.52,4862.99,4831.7,4839.42,4624.0,54.0
2026-01-30 23:15:00+00:00,4839.49,4889.56,4836.22,4874.2,4542.0,54.0
2026-01-30 23:30:00+00:00,4874.13,4880.71,4849.3,4860.09,3464.0,158.0
2026-01-30 23:45:00+00:00,4860.08,4891.55,4856.16,4890.34,3069.0,216.0
2026-02-02 01:00:00+00:00,4805.03,4869.41,4711.14,4740.77,5622.0,216.0
2026-02-02 01:15:00+00:00,4740.79,4757.37,4696.67,4726.26,6360.0,216.0
2026-02-02 01:30:00+00:00,4725.95,4787.94,4714.13,4774.6,6439.0,216.0
2026-02-02 01:45:00+00:00,4774.61,4778.02,4721.98,4741.81,6722.0,65.0
2026-02-02 02:00:00+00:00,4742.15,4845.36,4740.11,4844.51,6052.0,65.0
2026-02-02 02:15:00+00:00,4844.5,4884.67,4828.28,4846.51,6921.0,49.0
2026-02-02 02:30:00+00:00,4846.72,4847.17,4795.79,4803.87,7047.0,49.0
2026-02-02 02:45:00+00:00,4804.02,4807.31,4760.39,4766.18,6275.0,50.0
2026-02-02 03:00:00+00:00,4765.98,4784.02,4583.67,4643.05,7275.0,54.0
2026-02-02 03:15:00+00:00,4643.14,4708.74,4643.01,4697.06,7904.0,54.0
2026-02-02 03:30:00+00:00,4697.1,4739.44,4667.67,4713.95,7532.0,50.0
2026-02-02 03:45:00+00:00,4713.34,4749.13,4705.25,4737.5,6818.0,49.0
2026-02-02 04:00:00+00:00,4737.25,4748.66,4699.08,4732.5,7368.0,50.0
2026-02-02 04:15:00+00:00,4732.52,4745.55,4715.29,4737.75,6711.0,43.0
2026-02-02 04:30:00+00:00,4738.65,4772.18,4735.98,4764.78,6067.0,52.0
2026-02-02 04:45:00+00:00,4764.77,4764.77,4698.63,4711.15,6687.0,48.0
2026-02-02 05:00:00+00:00,4711.01,4727.56,4690.55,4692.98,7266.0,44.0
2026-02-02 05:15:00+00:00,4693.11,4728.94,4659.88,4696.01,6375.0,50.0
2026-02-02 05:30:00+00:00,4696.21,4700.34,4630.43,4666.13,7610.0,49.0
2026-02-02 05:45:00+00:00,4665.88,4694.12,4640.07,4646.06,6977.0,52.0
2026-02-02 06:00:00+00:00,4646.13,4663.2,4603.63,4661.92,7525.0,54.0
2026-02-02 06:15:00+00:00,4661.97,4704.53,4660.53,4670.79,5834.0,53.0
2026-02-02 06:30:00+00:00,4670.88,4699.01,4658.41,4687.89,5618.0,54.0
2026-02-02 06:45:00+00:00,4687.94,4712.77,4672.55,4679.85,5417.0,53.0
2026-02-02 07:00:00+00:00,4679.84,4696.01,4649.86,4661.52,5954.0,51.0
2026-02-02 07:15:00+00:00,4661.74,4673.58,4649.36,4658.22,5372.0,48.0
2026-02-02 07:30:00+00:00,4658.27,4658.31,4572.92,4576.07,7699.0,53.0
2026-02-02 07:45:00+00:00,4576.02,4579.01,4499.06,4549.2,7870.0,48.0
2026-02-02 08:00:00+00:00,4548.94,4573.14,4520.69,4535.63,7012.0,53.0
2026-02-02 08:15:00+00:00,4535.06,4549.15,4433.77,4486.42,7383.0,51.0
2026-02-02 08:30:00+00:00,4486.41,4500.5,4402.99,4452.77,7438.0,54.0
2026-02-02 08:45:00+00:00,4452.7,4522.78,4430.38,4502.9,7562.0,53.0
2026-02-02 09:00:00+00:00,4504.25,4554.07,4487.47,4537.24,6662.0,53.0
2026-02-02 09:15:00+00:00,4536.96,4574.4,4523.91,4559.72,6678.0,65.0
2026-02-02 09:30:00+00:00,4560.04,4591.78,4524.94,4582.9,6055.0,65.0
2026-02-02 09:45:00+00:00,4582.81,4619.21,4581.1,4586.69,6205.0,54.0
2026-02-02 10:00:00+00:00,4587.27,4628.18,4561.68,4610.11,6780.0,65.0
2026-02-02 10:15:00+00:00,4609.46,4649.07,4600.95,4645.69,6201.0,65.0
2026-02-02 10:30:00+00:00,4645.71,4649.89,4607.58,4641.15,6266.0,65.0
2026-02-02 10:45:00+00:00,4641.06,4650.92,4627.17,4641.1,5995.0,65.0
2026-02-02 11:00:00+00:00,4640.84,4656.56,4603.49,4645.97,6414.0,65.0
2026-02-02 11:15:00+00:00,4645.99,4700.05,4626.14,4690.21,6307.0,65.0
2026-02-02 11:30:00+00:00,4689.67,4712.79,4678.6,4687.76,6825.0,54.0
2026-02-02 11:45:00+00:00,4687.8,4731.63,4684.44,4719.68,7036.0,65.0
2026-02-02 12:00:00+00:00,4719.61,4733.64,4704.37,4730.41,5781.0,65.0
2026-02-02 12:15:00+00:00,4730.47,4730.9,4670.58,4682.31,6225.0,65.0
2026-02-02 12:30:00+00:00,4682.35,4698.02,4661.4,4673.69,5690.0,54.0
2026-02-02 12:45:00+00:00,4673.73,4711.5,4657.2,4705.61,5629.0,54.0
2026-02-02 13:00:00+00:00,4705.53,4749.42,4703.27,4749.1,5372.0,65.0
2026-02-02 13:15:00+00:00,4749.03,4759.6,4739.64,4752.83,5681.0,53.0
2026-02-02 13:30:00+00:00,4752.99,4778.41,4747.13,4772.56,5367.0,54.0
2026-02-02 13:45:00+00:00,4772.79,4778.95,4756.69,4765.97,5164.0,54.0
2026-02-02 14:00:00+00:00,4765.96,4776.22,4743.99,4762.9,5523.0,53.0
2026-02-02 14:15:00+00:00,4762.72,4789.6,4760.07,4777.68,4454.0,52.0
2026-02-02 14:30:00+00:00,4777.7,4797.24,4770.27,4797.07,4570.0,54.0
2026-02-02 14:45:00+00:00,4797.62,4812.34,4773.23,4794.02,6263.0,51.0
2026-02-02 15:00:00+00:00,4793.82,4803.09,4719.92,4783.57,7856.0,53.0
2026-02-02 15:15:00+00:00,4783.83,4794.29,4728.1,4739.6,7473.0,54.0
2026-02-02 15:30:00+00:00,4739.59,4741.63,4669.66,4685.71,7739.0,54.0
2026-02-02 15:45:00+00:00,4685.86,4722.04,4684.09,4705.96,6990.0,54.0
2026-02-02 16:00:00+00:00,4706.06,4738.69,4699.42,4726.14,7040.0,49.0
2026-02-02 16:15:00+00:00,4725.7,4729.78,4679.78,4721.43,6834.0,52.0
2026-02-02 16:30:00+00:00,4721.45,4793.93,4709.91,4753.83,8144.0,53.0
2026-02-02 16:45:00+00:00,4753.51,4762.2,4699.87,4719.23,8115.0,65.0
2026-02-02 17:00:00+00:00,4719.19,4745.35,4690.78,4711.16,7787.0,65.0
2026-02-02 17:15:00+00:00,4710.98,4727.21,4673.95,4681.07,7255.0,53.0
2026-02-02 17:30:00+00:00,4681.11,4704.36,4649.09,4675.49,7961.0,53.0
2026-02-02 17:45:00+00:00,4675.45,4677.43,4617.29,4619.93,7897.0,52.0
2026-02-02 18:00:00+00:00,4619.97,4703.92,4596.61,4696.91,7993.0,53.0
2026-02-02 18:15:00+00:00,4696.94,4708.42,4663.1,4671.52,7815.0,51.0
2026-02-02 18:30:00+00:00,4671.71,4688.5,4644.97,4668.91,7358.0,52.0
2026-02-02 18:45:00+00:00,4668.89,4676.67,4649.58,4665.72,6661.0,54.0
2026-02-02 19:00:00+00:00,4665.76,4713.67,4659.82,4707.42,6989.0,47.0
2026-02-02 19:15:00+00:00,4707.49,4713.03,4660.09,4667.35,6094.0,49.0
2026-02-02 19:30:00+00:00,4667.35,4687.89,4656.55,4674.46,5701.0,52.0
2026-02-02 19:45:00+00:00,4674.47,4688.5,4663.21,4673.86,5755.0,52.0
2026-02-02 20:00:00+00:00,4673.92,4674.1,4633.63,4635.7,6455.0,52.0
2026-02-02 20:15:00+00:00,4635.77,4646.73,4618.41,4631.92,6505.0,53.0
2026-02-02 20:30:00+00:00,4632.57,4673.87,4632.57,4657.01,5580.0,53.0
2026-02-02 20:45:00+00:00,4656.92,4671.57,4644.48,4657.76,4806.0,53.0
2026-02-02 21:00:00+00:00,4657.73,4661.95,4637.17,4647.11,4769.0,54.0
2026-02-02 21:15:00+00:00,4647.12,4654.07,4631.37,4643.54,4470.0,52.0
