entry_time,exit_time,dir,entry,exit,pnl,ret,fill_kind
2026-03-03 04:00:00+00:00,2026-03-03 07:45:00+00:00,1,5340.400191749364,5322.928,-17.472191749364356,-0.0032717008317762345,market
2026-03-03 16:00:00+00:00,2026-03-03 19:45:00+00:00,-1,5155.649514019552,5079.092,76.5575140195524,0.01484924718241079,market
2026-03-03 20:00:00+00:00,2026-03-03 23:45:00+00:00,-1,5078.281836791305,5088.273,-9.99116320869507,-0.001967429837452258,market
2026-03-04 04:00:00+00:00,2026-03-04 07:45:00+00:00,1,5175.215854688095,5159.707,-15.508854688094289,-0.0029967551351592838,market
2026-03-04 20:00:00+00:00,2026-03-04 23:45:00+00:00,-1,5140.472226362045,5141.213,-0.7407736379545895,-0.00014410614537622765,market
2026-03-05 04:00:00+00:00,2026-03-05 07:45:00+00:00,1,5173.183846345406,5148.388,-24.795846345406062,-0.004793150037171612,market
2026-03-05 20:00:00+00:00,2026-03-05 23:45:00+00:00,-1,5061.62440753121,5080.873,-19.248592468789866,-0.003802848832511123,market
2026-03-06 04:00:00+00:00,2026-03-06 07:45:00+00:00,1,5134.981880627001,5117.041,-17.940880627001206,-0.003493854709534156,market
2026-03-09 16:00:00+00:00,2026-03-09 16:30:00+00:00,-1,5073.233123223064,5105.1,-31.866876776936806,-0.006281374421976402,market
2026-03-10 00:00:00+00:00,2026-03-10 03:45:00+00:00,1,5141.695862370321,5184.13,42.434137629678844,0.008252945869520316,market
2026-03-10 20:00:00+00:00,2026-03-10 20:15:00+00:00,1,5229.067491939055,5205.203,-23.86449193905446,-0.004563814097990343,market
2026-03-19 16:00:00+00:00,2026-03-19 19:45:00+00:00,-1,4620.018444292275,4616.004,4.014444292274675,0.000868923867010586,market
2026-03-19 20:00:00+00:00,2026-03-19 20:45:00+00:00,-1,4615.325671915065,4620.802,-5.476328084934721,-0.001186552905303949,market
2026-03-20 04:00:00+00:00,2026-03-20 07:45:00+00:00,1,4677.859829165823,4688.166,10.306170834177465,0.0022031807729508877,market
2026-03-20 08:00:00+00:00,2026-03-20 08:30:00+00:00,1,4688.747330854529,4677.098,-11.649330854528671,-0.002484529455846274,market
2026-03-20 16:00:00+00:00,2026-03-20 19:45:00+00:00,-1,4615.919172822292,4573.322,42.59717282229212,0.009228318613786972,market
2026-03-23 12:00:00+00:00,2026-03-23 13:00:00+00:00,-1,4253.177753970417,4309.965999999999,-56.7882460295823,-0.013351956893071176,market
2026-03-24 00:00:00+00:00,2026-03-24 00:45:00+00:00,-1,4412.948645332731,4426.095,-13.146354667269406,-0.0029790409369874252,market
2026-03-24 04:00:00+00:00,2026-03-24 07:45:00+00:00,-1,4321.432019761565,4347.234,-25.801980238435135,-0.005970701406488574,market
2026-03-24 12:00:00+00:00,2026-03-24 15:45:00+00:00,1,4427.0935260826445,4381.268,-45.8255260826445,-0.01035115382420973,market
2026-03-25 04:00:00+00:00,2026-03-25 07:45:00+00:00,1,4595.762322269032,4555.495,-40.267322269031865,-0.008761837415724097,market
2026-03-25 12:00:00+00:00,2026-03-25 12:00:00+00:00,-1,4551.222006024983,4555.564,-4.341993975017431,-0.0009540281641434822,market
2026-03-25 16:00:00+00:00,2026-03-25 16:00:00+00:00,-1,4544.048409635225,4551.694,-7.645590364775671,-0.0016825503770082908,market
