entry_time,exit_time,dir,entry,exit,pnl,ret,fill_kind
2026-02-13 09:30:00+00:00,2026-02-13 09:30:00+00:00,-1,4981.74315,4980.676,1.067149999999856,0.00021421216788341564,limit
2026-02-16 10:00:00+00:00,2026-02-16 11:45:00+00:00,-1,5011.70705,5013.386,-1.678950000000441,-0.0003350056145042318,limit
2026-03-02 04:00:00+00:00,2026-03-02 07:45:00+00:00,1,5327.60925,5365.999,38.38974999999937,0.007205811875185734,limit
2026-03-02 12:00:00+00:00,2026-03-02 15:45:00+00:00,1,5379.94135,5393.731,13.78964999999971,0.0025631599125146057,limit
2026-03-03 20:30:00+00:00,2026-03-03 23:45:00+00:00,-1,5122.4258500000005,5088.273,34.1528500000004,0.006667319547436767,limit
2026-03-06 15:30:00+00:00,2026-03-06 15:30:00+00:00,-1,5111.210950000001,5117.301,-6.090049999999792,-0.001191508247179622,limit
2026-03-12 15:15:00+00:00,2026-03-12 15:45:00+00:00,1,5159.8227,5154.362,-5.460699999999633,-0.001058311557875745,limit
2026-03-13 00:45:00+00:00,2026-03-13 02:00:00+00:00,-1,5095.4534,5105.128,-9.674599999999373,-0.0018986730405579555,limit
2026-03-16 13:15:00+00:00,2026-03-16 13:15:00+00:00,-1,5017.20305,5017.301,-0.09795000000030996,-1.9522829557458303e-05,limit
2026-03-16 21:00:00+00:00,2026-03-16 22:45:00+00:00,-1,5018.96065,5006.205,12.75565000000006,0.00254149233068804,limit
2026-03-23 12:00:00+00:00,2026-03-23 13:00:00+00:00,-1,4247.6934,4309.965999999999,-62.27259999999933,-0.014660333064528464,limit
2026-03-30 05:30:00+00:00,2026-03-30 05:30:00+00:00,-1,4485.96215,4493.031,-7.068849999999657,-0.0015757712088586516,limit
2026-04-01 05:30:00+00:00,2026-04-01 07:15:00+00:00,1,4679.4678,4671.25,-8.217800000000352,-0.0017561398755645571,limit
